200 10
NETWORK_TREE :
126 0 2
163 0 6
198 0 3
179 126 5
24 163 1
107 24 5
142 126 8
175 142 5
176 163 1
88 142 8
114 175 3
164 0 5
184 126 8
14 0 2
197 184 9
106 114 5
132 175 10
174 132 1
148 107 4
11 179 2
169 11 1
152 184 10
50 169 9
112 184 10
22 112 2
105 175 2
83 22 1
192 163 6
127 132 1
56 174 2
90 14 1
71 179 8
43 169 9
3 163 3
51 90 2
77 50 6
44 197 10
31 176 9
151 14 3
69 50 4
53 107 5
119 44 2
165 184 9
64 126 2
74 127 8
5 90 10
122 112 10
168 148 7
28 169 1
17 22 6
118 22 10
158 22 4
30 122 1
154 90 9
157 154 9
86 17 1
46 168 5
182 28 1
26 46 9
78 192 1
128 106 10
190 107 5
18 11 10
123 169 8
103 151 5
87 30 9
146 182 2
55 179 9
134 14 4
144 174 3
73 90 1
40 192 3
72 14 2
21 163 1
115 72 1
45 115 5
143 168 10
75 28 3
193 158 6
1 144 5
16 165 1
37 45 2
99 157 9
66 175 4
108 16 3
54 0 10
47 148 8
15 105 3
138 134 6
161 154 5
91 1 2
109 18 7
180 26 1
7 54 10
33 90 8
166 26 4
34 112 3
84 184 4
153 91 7
150 109 4
61 148 8
191 182 10
57 84 4
41 17 7
9 197 5
178 197 9
155 163 6
92 108 2
130 106 9
81 144 6
173 148 9
93 134 2
39 115 5
187 86 6
199 165 1
98 46 9
195 191 4
62 175 9
104 51 8
42 43 4
185 62 10
133 83 10
96 73 7
76 174 10
189 91 8
170 153 2
101 81 2
19 132 6
121 37 8
140 176 4
52 151 4
159 64 5
167 87 8
171 165 9
10 90 2
172 24 1
97 114 10
116 167 10
120 10 9
136 0 8
149 93 10
68 7 10
12 66 7
156 136 8
177 173 10
80 72 8
29 7 6
100 104 7
139 30 2
23 140 3
147 121 1
129 52 4
162 96 2
141 84 5
65 47 2
25 46 8
111 23 8
131 62 1
186 92 2
49 44 6
117 74 4
95 34 2
8 42 9
181 45 5
145 166 6
2 56 6
27 154 7
4 46 9
110 41 6
188 54 10
89 191 1
85 33 5
67 181 5
63 29 4
70 180 1
36 86 10
194 117 7
38 158 8
59 41 5
60 153 2
196 120 6
160 92 7
32 193 2
135 60 9
13 147 7
113 76 4
35 76 7
20 39 9
124 1 4
102 10 6
137 132 2
48 37 5
6 111 8
82 41 5
58 31 7
125 198 6
94 140 10
183 15 7
79 39 5
NODE_PROGRAM :
0 1 2 3 4 5 6 7 8 9 10
1 9
2 2 3 4 6 7
3 2 4 5 8 9
4 5 6 10
5 1 2 3 4 5 6 8 9 10
6 1 4 5 7 8
7 2 3 5 6 7 8 9 10
8 2 3 7
9 3 4 6 8
10 2 3 7 8
12 2 4 8 9 10
13 2 9
14 5 10
15 2 3 4 7 9 10
16 1 2 4 5 6 7 8 9 10
17 2 6 7 8 9
18 3 4 5 9
19 1 2 3 4 5 6 8 10
20 4 7 8 9 10
21 3 9
22 1 2 3 4 5 6 7 8 9
23 1 4 10
24 1 6 10
25 1 3 4 5 6 7 8 10
26 5 9
27 1 2 4 5 6 7 8 9 10
28 3 7
29 1 3 4 5 8 10
30 1 2 3 5 6 7 8
31 1 2 3 4 6 8 9 10
32 4 5 7 8
33 1
34 3 4 9 10
35 1 3 8 9
36 2 4 5 8 9
38 7
39 2 5 7 8 10
40 1 8
41 2 4 6 7 10
42 1 4 8 9 10
43 1 10
44 4
45 2 4 6 7 8 10
46 1 2 3 6 8 9
47 1 4
48 1 5 7 8 9
49 7
50 3 4 5
51 2 4 6 10
52 1 2 3 5 6 8 9 10
53 1 3 4 7 8 10
54 1 2 3 4 5 6 7 8 10
55 1 2 9 10
56 7
57 1 2 5
58 1 2 3 4 9 10
60 1 4 6
61 1 2 4 5 6 9 10
62 1 3 4 6 7 8 9 10
63 3 4 6 10
64 1 2 5 7
65 1 2 3 4 5 6 7 9
66 5 6 7 9
67 2 4 5 10
68 1 3 4 5 8 10
69 1 2 3 4 5 6 8 9 10
70 3
71 1 3 4 5 6 7 9
72 6
74 1 2 3 4 6 7 9 10
75 2 3 6 7 8 9 10
76 2 4 5 6 10
77 1 2 3 4 6 8 10
78 2 3 8
79 1 5 7
80 2 4 5 6 7 9
81 1 2 6 9 10
83 4 5 10
84 1 5 6 7 9
85 1 2 3 4 6 7 9
86 1 8
88 2 4 8 9
89 3 4 9 10
90 1 2 4 5 6 8 9 10
91 1 2 4 5 6 7 8 9 10
94 3
95 1 3 8 9
96 5 8 10
97 1 3 7 10
99 1 2 3 5 8 10
100 1 2 3 4 8 9 10
101 2 3 4 5 7 9
102 5 8
103 3 6 9 10
104 2 4 5 7 8
105 1 3 5 6 10
106 8
107 2 3 4 5 8 9
108 1 3 5 6 7 9
110 1 2 3 4 7 8 9
112 1 3 5 6 8 9 10
113 1 2 3 9 10
114 1 2 3 5 6 7 8 9 10
115 2 3 4 5 6 7 8 9 10
116 3 4 6 7 8 9
118 1 5 6 8
119 1 2 3 4 5 8 9
120 2
121 7 8
122 2
123 6 10
124 1 6 7 8 9
125 1 2 6 7 8
126 2 3 4 5 6 8 9 10
127 1 2 3 4 5 8 9 10
128 2 3 5 6 9
129 1 2 3 5 6 7 8 9
130 7 10
131 1 4 7 8
132 1 2 3 4 5 6 7 8 10
134 2 3 4 5 8
135 1 3 4 5 6 8 9 10
136 2 3
137 2 3 5 6 7 8 10
138 5 8 10
139 4 5 7
140 1 2 3 5 6 7 8 9 10
141 2 5
143 7 8
144 1 2 3 5 6 7 8 9 10
146 1 2 4 5 7 10
148 5 8 9
149 2 3 4 5 8 9
150 1 2 4 6 7 8 9 10
151 1 3 6 9
152 7 8 10
153 1 2 3 6 7 10
154 1 2 4 5 6 7 8 9
155 1 5 6 10
156 2 3 4 5 8 10
157 3 6 9
158 4 5 7 8 9 10
159 5 6 7
160 1 3 7 9 10
161 3 4 5 6 10
162 1 5 6 9 10
163 1 2 4 7
164 10
165 1 5 6 8 9 10
166 1 5 7 8 9 10
167 2 3 4 5 8 10
170 1 2 4 6 8 9 10
171 1 2 3 5 6 7 9
172 1 2 4 5 8 9 10
173 1 3 4 5 6
174 2 3 5 9 10
175 2 3 4 5 6 8 10
176 3 4 8
177 10
178 1 5 6 7 8
179 2 3 4 5 7 8 10
180 1 2 3 5 9
181 2 3 4 5 6 8 9 10
182 3 5 6 7
183 1 3 5 8
184 2 4 5 6 8 10
185 2 3 4 5 6 7 8 9 10
186 1 2 3 5 6 8 10
187 3 4 5 7 9
189 1 2 3 4 5 10
190 2 3 4 8 9 10
191 3 5 6 7 8 9
192 3 8
194 1 2 3 4 5 7 8 9 10
195 3 4 5 7 10
196 1 4 5 7 8 10
198 1 2 4 5
199 1 2 3 5 9
COST_INSTALL_SERVER_AND_PROGRAMS :
0 14 2 5 3 4 2 3 5 2 4 3
1 14 5 1 5 3 3 1 2 2 3 5
2 11 2 3 4 4 2 4 4 2 2 2
3 6 5 5 2 4 2 3 4 1 5 2
4 10 5 2 1 3 3 2 5 1 5 4
5 12 1 5 3 5 3 1 3 5 1 2
6 14 4 3 1 5 3 5 3 5 3 1
7 9 5 5 1 4 5 5 4 1 1 2
8 15 3 2 4 5 5 4 2 3 3 3
9 13 1 4 2 1 3 4 3 2 4 2
10 12 4 3 5 5 3 4 3 1 3 3
11 11 2 1 1 3 1 3 3 4 3 4
12 9 3 5 3 4 4 1 5 1 4 4
13 14 1 4 2 3 5 2 5 3 5 4
14 14 4 2 3 4 3 3 5 5 3 2
15 10 3 4 5 4 5 1 4 1 2 3
16 11 2 3 2 5 4 5 4 2 3 5
17 14 1 5 5 5 2 3 5 5 5 3
18 6 1 1 2 3 5 2 3 4 4 1
19 15 3 1 3 2 4 4 1 5 3 3
20 15 3 4 1 1 1 3 4 2 2 3
21 7 3 4 1 3 3 5 4 5 1 2
22 10 4 3 1 4 3 3 2 1 2 3
