150 100
NETWORK_TREE :
1 0 2.0 
32 0 8.0 
130 0 1.0 
33 32 6.0 
34 33 6.0 
35 34 10.0 
36 35 6.0 
37 36 8.0 
76 33 9.0 
88 33 8.0 
137 0 8.0 
2 1 5.0 
45 36 1.0 
89 88 8.0 
3 2 3.0 
38 37 7.0 
7 2 5.0 
123 33 2.0 
60 35 1.0 
8 7 2.0 
29 1 7.0 
101 88 4.0 
90 89 7.0 
131 130 10.0 
9 8 9.0 
77 76 8.0 
61 60 2.0 
97 89 1.0 
80 76 1.0 
81 80 2.0 
18 2 4.0 
26 2 6.0 
19 18 7.0 
103 88 6.0 
148 0 1.0 
46 45 7.0 
104 103 5.0 
125 33 3.0 
110 88 10.0 
62 61 5.0 
115 88 2.0 
47 45 6.0 
53 36 10.0 
122 88 7.0 
127 33 8.0 
4 3 8.0 
138 137 9.0 
100 89 8.0 
22 18 5.0 
98 97 10.0 
111 110 9.0 
67 60 1.0 
63 62 1.0 
116 115 1.0 
126 125 9.0 
91 90 7.0 
124 123 4.0 
68 60 6.0 
10 8 7.0 
139 138 8.0 
41 37 2.0 
117 116 6.0 
23 22 2.0 
14 7 8.0 
54 53 6.0 
74 34 7.0 
107 103 8.0 
20 19 6.0 
82 80 2.0 
24 23 5.0 
92 91 2.0 
30 29 10.0 
42 41 4.0 
132 131 4.0 
51 45 1.0 
55 53 2.0 
27 2 8.0 
112 111 6.0 
140 138 10.0 
64 63 2.0 
95 91 4.0 
119 115 1.0 
93 92 10.0 
39 38 9.0 
128 127 9.0 
85 80 9.0 
15 14 3.0 
145 137 10.0 
17 14 9.0 
28 27 5.0 
48 47 10.0 
49 47 10.0 
134 131 1.0 
147 137 8.0 
57 53 6.0 
120 119 6.0 
11 10 1.0 
141 140 9.0 
144 140 9.0 
43 42 7.0 
58 36 9.0 
108 107 2.0 
142 141 8.0 
70 35 1.0 
102 101 10.0 
78 77 6.0 
83 82 8.0 
5 3 4.0 
86 85 9.0 
94 93 5.0 
129 32 9.0 
118 116 10.0 
71 70 7.0 
72 71 7.0 
143 142 9.0 
114 110 10.0 
75 74 3.0 
105 104 7.0 
52 45 8.0 
136 130 7.0 
106 105 1.0 
44 42 5.0 
99 97 10.0 
13 10 9.0 
69 60 10.0 
31 29 6.0 
146 145 8.0 
73 35 7.0 
6 3 8.0 
135 134 4.0 
59 58 9.0 
109 108 4.0 
